# Medication database
# Format: Name | Active substances (comma-separated) | Type
Glukoza 5 Braun | Glucosum 50 g | Pozostałe produkty lecznicze
Sedam 3 | Bromazepamum 3 mg | Leki działające na układ nerwowy
Sedam 6 | Bromazepamum 6 mg | Leki działające na układ nerwowy
Singulair 4 | Montelukastum natricum 4 mg | Leki układu oddechowego
Tribux Bio | Trimebutini maleas 100 mg | Leki przewodu pokarmowego i metaboliczne
Vitaminum A 2000 + D3 400 Hasco | Retinoli palmitas 2000 j.m. + Cholecalciferolum 400 j.m | Leki przewodu pokarmowego i metaboliczne
Ascorgem | Acidum ascorbicum 100 mg | Leki przewodu pokarmowego i metaboliczne
Bedicort G | Betamethasoni propionas 0,5 mg/g + Gentamicini sulfas 1 mg/g | Leki dermatologiczne
NovoMix 30 Penfill | Insulinum aspartum 100 j.m/1 ml | Leki przewodu pokarmowego i metaboliczne
Bioprazol | Omeprazolum 20 mg | IPP
Orgalutran | Ganirelixi acetas 0.25 mg | Leki hormonalne
Sevredol | Morphini sulfas 20 mg | Leki działające na układ nerwowy
Cerutin | Acidum ascorbicum 100 mg + Rutosidum trihydricum 25 mg | Leki układu sercowo‑naczyniowego
Lutenyl | Nomegestroli acetas 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Meteospasmyl | Alverini citras 60 mg + Simeticonum 300 mg | Leki przewodu pokarmowego i metaboliczne
Miansegen | Mianserini hydrochloridum 30 mg | Inne leki przeciwdepresyjne
Akineton SR 4 mg | Biperideni hydrochloridum 4 mg | Leki działające na układ nerwowy
Cyclo 3 Fort | Rusci aculeati extractum siccum 150 mg + Metylochalkon hesperydyny 150 mg + Acidum ascorbicum 100 mg | Leki układu sercowo‑naczyniowego
Firmagon | Degarelixum 80 mg | Leki przeciwnowotworowe i immunomodulujące
Tritace 2,5 comb | Ramiprilum 2.5 mg + Hydrochlorothiazidum 12.5 mg | Leki układu sercowo‑naczyniowego
Tritace 5 comb | Ramiprilum 5 mg + Hydrochlorothiazidum 25 mg | Leki układu sercowo‑naczyniowego
MBE | Magnesii oxidum 250 mg + Pyridoxini hydrochloridum (Vitaminum B6) 7.29 mg + int-rac-alfa-Tocopherylis acetas 200 mg | Leki przewodu pokarmowego i metaboliczne
Mimpara | Cinacalcetum 30 mg | Leki hormonalne
Baikadent | Scutellariae baicalensis radix extractum 0.577 g | Farmakologiczna grupa nieokreślona
Diphereline 0,1 mg | Triptorelinum 0.1 mg | Leki przeciwnowotworowe i immunomodulujące
Zofran Zydis | Ondansetronum 8 mg | Leki przewodu pokarmowego i metaboliczne
Insulatard Innolet | Insulinum humanum isophanum 100 j.m./1 ml | Leki przewodu pokarmowego i metaboliczne
Actrapid InnoLet | Insulinum humanum 100 j.m./1 ml | Leki przewodu pokarmowego i metaboliczne
Viprosal B | Vipera lebelina toxinum 0,05 j.m./g + Camphorum 30 mg/g + Terebinthini aetheroleum ab  pinum pinastrum 30 mg/g + Acidum salicylicum 10 mg/g | Leki układu mięśniowo‑szkieletowego
Prostalong Max | Sabalis serrulatae extractum (spissum (9,0-12,0:1)) 320 mg | Farmakologiczna grupa nieokreślona
Maglek B6 | Magnesii lactas dihydricus 500 mg + Pyridoxini hydrochloridum (Vitaminum B6) 5 mg | Leki przewodu pokarmowego i metaboliczne
Clexane forte | Enoxaparinum natricum 120 mg | Leki działające na krew i układ krwiotwórczy
Apo-Pentox 400 SR | Pentoxifyllinum 400 mg | Leki układu sercowo‑naczyniowego
Naproxen | Naproxenum natricum 1.2 g | Leki układu mięśniowo‑szkieletowego
Sulphodent | 2,1 % woda lecznicza sodowo- chlorkowa (solanka) siarczkowa, jodkowa z odwiertu Szyb Solecki 36 g + Bocheńska Sól Lecznicza Jodowo-Bromowa 1 g + 2,1 % woda lecznicza sodowo- chlorkowa (solanka) siarczkowa, jodkowa z odwiertu Szyb Solecki Bocheńska Sól Lecznicza Jodowo-Bromowa - | Farmakologiczna grupa nieokreślona
Xeloda | Capecitabinum 150 mg | Leki przeciwnowotworowe i immunomodulujące
Rapamune | Sirolimusum 1 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Rowachol | Pinenum beta 3.4 g/100 g + Camphenum 878,0925-878,1075 mg/ml + Menthonum 0,5 mg/ml + Pinenum alfa 13.6 g/100 g + Mentholum 32 g/100 g + Borneolum 9,0 mg/ml + Cineolum 2 g/100 g | Farmakologiczna grupa nieokreślona
Diphereline SR 11,25 mg | Triptorelini pamoas 15 mg | Leki przeciwnowotworowe i immunomodulujące
Mupirox | Mupirocinum 20 mg/1 g | Leki dermatologiczne
Cital | Citaloprami hydrobromidum 20 mg | SSRI
Polprazol Acidcontrol | Omeprazolum 10 mg | IPP
Memotropil 20% | Piracetamum 12 g/60 ml | Leki działające na układ nerwowy
Sumamigren | Sumatriptanum 50 mg | Leki działające na układ nerwowy
Tokovit A + E | Retynolu palmitynian stabilizowany tokoferolem 2500 j.m. + Tocopherolum 70 j.m. | Leki przewodu pokarmowego i metaboliczne
Locatop | Desonidum 0,1 g/30 g | Leki dermatologiczne
Penester | Finasteridum 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Allergocrom | Natrii cromoglicas 20 mg | Leki okulistyczne i otologiczne
Taclar | Clarithromycinum 250 mg | Makrolidy
Gadovist 1,0 | Gadobutrolum 604.72 mg | Pozostałe produkty lecznicze
Silimax | Silimarinum 70 mg | Leki przewodu pokarmowego i metaboliczne
Hascofungin | Ciclopirox olaminum 1 g | Leki dermatologiczne
Remicade | Infliximabum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Hederoin | Hedera helix extractum 15 mg + Glycyrrhizae radicis extractum siccum 40 mg | Leki układu oddechowego
Indapres | Indapamidum 2.5 mg | Leki układu sercowo‑naczyniowego
Keppra | Levetiracetamum 250 mg | Leki działające na układ nerwowy
Antiprost | Finasteridum 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Roztwór Ringera | Natrii chloridum 8.6 g + Kalii chloridum 0.3 g + Calcii chloridum dihydricum 0.33 g | Leki działające na krew i układ krwiotwórczy
Cipronex 0,3% | Ciprofloxacinum 3 mg | Leki okulistyczne i otologiczne
Noverban | Verbasci extractum fluidum. 15 g | Farmakologiczna grupa nieokreślona
Lancetan | Plantaginis lanceolatae folii extractum (1:7) (1:1-2) 10 g | Farmakologiczna grupa nieokreślona
Glukoza 10 Braun | Glucosum 100 g | Leki działające na krew i układ krwiotwórczy
Kora kasztanowca | Hippocastani cortex 100 g/100 g | Farmakologiczna grupa nieokreślona
Liść Porzeczki czarnej | Ribis nigri folium 100 g | Farmakologiczna grupa nieokreślona
Zoxon 1 | Doxazosini mesilas 1.213 mg | Leki układu sercowo‑naczyniowego
Zoxon 2 | Doxazosini mesilas 2.425 mg | Leki układu sercowo‑naczyniowego
Zoxon 4 | Doxazosini mesilas 4 mg | Leki układu sercowo‑naczyniowego
Zometa | Acidum zoledronicum 4 mg | Leki układu mięśniowo‑szkieletowego
Lipanthyl Supra 160 | Fenofibratum 160 mg | Leki układu sercowo‑naczyniowego
Ginkofar forte | Ginkgo bilobae extractum (35-67:1) 80 mg | Leki działające na układ nerwowy
Antinervinum | Valerianae tinctura 1032 mg/ 5 ml
(1:4,0-4,5) ekstrahent: etanol 70% (v/v) + Crataegi tinctura 903 mg/ 5 ml
(1:3,25-3,75) ekstrahent: etanol 60% (v/v) + Lupuli strobili tinctura 645 mg/ 5 ml
(1:5) ekstrahent: etanol 70% (v/v) | Leki działające na układ nerwowy
Clotrimazolum Aflofarm | Clotrimazolum 10 mg/g | Leki dermatologiczne
Histigen | Betahistini dihydrochloridum 16 mg | Leki działające na układ nerwowy
Seretide 50 | Fluticasoni propionas 50 mcg + Salmeteroli xinafoas 25 mcg | Leki układu oddechowego
Seretide 125 | Fluticasoni propionas 125 mcg + Salmeteroli xinafoas 25 mcg | Leki układu oddechowego
Seretide 250 | Fluticasoni propionas 250 mcg + Salmeteroli xinafoas 25 mcg | Leki układu oddechowego
Cardilopin | Amlodipinum 2.5 mg | Antagoniści kanału wapniowego
Remifemin | Cimicifugae racemosae rhizomae extractum fluidum (0,78-1,14:1) isopropanolicum 40% (v/v) 0,018 - 0,026 ml co odpowiada 20 mg substancji roślinnej | Leki układu moczowo‑płciowego i hormony płciowe
Multibiotic | Neomycini sulfas 5 mg + Bacitracinum zincum 10 mg + Polymyxini B sulfas 0.833 mg | Leki dermatologiczne
Imodium Instant | Loperamidi hydrochloridum 2 mg | Leki przewodu pokarmowego i metaboliczne
Apo-Feno 200M | Fenofibratum 200 mg | Leki układu sercowo‑naczyniowego
Nasivin Vicks Baby | Oxymetazolini hydrochloridum 0.1 mg | Leki układu oddechowego
Nasivin Vicks Kids | Oxymetazolini hydrochloridum 0.25 mg | Leki układu oddechowego
Naxii | Naproxenum natricum 220 mg | NLPZ
Levopront | Levodropropizinum 60 mg/10 ml | Leki układu oddechowego
Diazidan | Gliclazidum 80 mg | Pochodne sulfonylomocznika
Ciloxan | Ciprofloxacini hydrochloridum 3.5 mg | Leki okulistyczne i otologiczne
Azilect | Rasagilinum 1 mg | Leki działające na układ nerwowy
Urtix | Urticae radix 330 mg | Farmakologiczna grupa nieokreślona
Tussi Drill | Dextromethorphani hydrobromidum 10 mg | Leki układu oddechowego
Alpragen | Alprazolamum 0.25 mg | Leki działające na układ nerwowy
Vasilip | Simvastatinum 10 mg | Statyny
Insuman Rapid | Insulini injectio neutralis humanum 100 j.m./1 ml | Leki przewodu pokarmowego i metaboliczne
Insuman Basal | Insulinum humanum isophanum 100 j.m./1 ml | Leki przewodu pokarmowego i metaboliczne
Insuman Comb 15 | Insulinum humanum 100 j.m./ml | Leki przewodu pokarmowego i metaboliczne
Insuman Comb 25 | Insulinum humanum isophanum 40 j.m./1 ml | Leki przewodu pokarmowego i metaboliczne
Tritace 10 | Ramiprilum 10 mg | ACEI
DHC Ennogen | Dihydrocodeini tartras 60 mg | Leki działające na układ nerwowy
Betaloc ZOK 25 | Metoprololi succinas 23.75 mg | β-blokery selektywne
Zolafren | Olanzapinum 5 mg | Atypowe leki przeciwpsychotyczne
MultiHance | Dimeglumini gadobenas 529 mg | Pozostałe produkty lecznicze
Berodual N | Fenoteroli hydrobromidum 50 mcg/dawkę inh. + Ipratropii bromidum 21 mcg/dawkę inh. + Fenoteroli hydrobromidum 13 mg/pojemnik | Leki układu oddechowego
Trittico CR | Trazodoni hydrochloridum 75 mg | Inne leki przeciwdepresyjne
Nasivin Vicks Classic | Oxymetazolini hydrochloridum 0.5 mg | Leki układu oddechowego
Rozex | Metronidazolum 0.75 g/100 g | Leki dermatologiczne
Zyvoxid | Linezolidum 600 mg | Leki przeciwbakteryjne i przeciwzakaźne
Heparin-Hasco | Heparinum natricum 25000 j.m. | Leki układu sercowo‑naczyniowego
Visudyne | Verteporfin 15 mg | Leki okulistyczne i otologiczne
Aerius | Desloratadinum 5 mg | Leki układu oddechowego
Furosemidum Polfarmex | Furosemidum 40 mg | Leki układu sercowo‑naczyniowego
Flamexin | Piroxicamum beta-cyclodextrinum 191,2 mg (co odpowiada 20 mg piroksykamu) | Leki układu mięśniowo‑szkieletowego
ACC | Acetylcysteinum 200 mg | Leki układu oddechowego
Woda do wstrzykiwań BRAUN | Aqua ad iniectabile - | Pozostałe produkty lecznicze
Clindacne | Clindamycini phosphas 1,19 %w/w | Leki dermatologiczne
Danazol Polfarmex | Danazolum 200 mg | Leki układu moczowo‑płciowego i hormony płciowe
Hypnogen | Zolpidemi tartras 10 mg | Leki działające na układ nerwowy
Optibetol 0,5% | Betaxololi hydrochloridum 5 mg/ml | Leki okulistyczne i otologiczne
Cerazette | Desogestrelum 0.075 mg | Leki układu moczowo‑płciowego i hormony płciowe
Miflonide Breezhaler | Budesonidum 200 mcg | Leki układu oddechowego
Metafen rozkurczowy | Drotaverini hydrochloridum 40 mg | Leki przewodu pokarmowego i metaboliczne
Debretin | Trimebutini maleas 100 mg | Leki przewodu pokarmowego i metaboliczne
Simvasterol | Simvastatinum 10 mg | Statyny
Nefopam Jelfa | Nefopami hydrochloridum 30 mg | Leki działające na układ nerwowy
Primacor | Lercanidipini hydrochloridum 10 mg | Antagoniści kanału wapniowego
Bronchosol | Extractum compositum spissum (3:1) ex. Thymi herba et Primulae radice/43.6 mg + Thymolum 0.198 mg | Farmakologiczna grupa nieokreślona
Diovan | Valsartanum 80 mg | ARB
Panadol Femina | Paracetamolum 500 mg + Hyoscini butylbromidum do 100,0 mg | Leki przewodu pokarmowego i metaboliczne
Aethoxysklerol 0,5% | Lauromacrogolum 400 10,00 mg/2 ml | Leki układu sercowo‑naczyniowego
Aethoxysklerol 1% | Lauromacrogolum 400 20,00 mg/ 2 ml | Leki układu sercowo‑naczyniowego
Aethoxysklerol 2% | Polidocanolum 40 mg | Leki układu sercowo‑naczyniowego
Tantum Verde Smak miodowo-pomarańczowy | Benzydamini hydrochloridum 3 mg | Leki przewodu pokarmowego i metaboliczne
Tears Naturale II | Hypromellosum 3 mg + Dextranum 1 mg | Leki okulistyczne i otologiczne
Timo-COMOD 0,5 % | Timololi maleas 6.84 mg | Leki okulistyczne i otologiczne
Litocid | Kalii citras 680 mg | Leki układu moczowo‑płciowego i hormony płciowe
Ibuvit C | Acidum ascorbicum 100 mg | Leki przewodu pokarmowego i metaboliczne
Novate | Clobetasoli propionas 0.05 g | Leki dermatologiczne
Soyfem | Glycine max.semen extractum siccum 26 mg | Farmakologiczna grupa nieokreślona
Orofar Total Action | Benzoxonii chloridum 0.2 g/ml + Lidocaini hydrochloridum 0.15 g/ml | Leki układu oddechowego
Pelethrocin | Diosminum 500 mg | Leki układu sercowo‑naczyniowego
Immunine 1200 IU | Factor IX coagulationis humanus 1200 j.m. | Leki działające na krew i układ krwiotwórczy
Ximve | Simvastatinum 10 mg | Statyny
Neo-Cardiol | Crataegi folii cum flore extractum spissum (5-6,5:1) 124,8 mg + Crataegi inflorescentia extractum fluidum 124.8 mg | Leki układu sercowo‑naczyniowego
Infanrix hexa | Vaccinum diphtheriae, tetani, pertussis sine cellulis ex elementis praeparatum poliomyelitidis inactivatum et | Leki przeciwbakteryjne i przeciwzakaźne
Lidocain-Egis | Lidocainum 3.8 g | Leki działające na układ nerwowy
Pamifos-30 | Dinatrii pamidronas 30 mg | Leki układu mięśniowo‑szkieletowego
Pamifos-60 | Dinatrii pamidronas 60 mg | Leki układu mięśniowo‑szkieletowego
Pamifos-90 | Dinatrii pamidronas 90 mg | Leki układu mięśniowo‑szkieletowego
Paracetamol Galena | Paracetamolum 2.4 g | Leki działające na układ nerwowy
Esseliv forte | Niezbędne fosfolipidy Lipoid PPL 400 300 mg (dokładny skład- dokumentacja) + tłuszcz utwardzony 66.4 mg | Leki przewodu pokarmowego i metaboliczne
Podtlenek azotu Messer | Dinitrogenii oxidum nie mniej niż 98% obj. | Leki działające na układ nerwowy
Glukoza 20 Braun | Glucosum (roztwór 30% w/w) 0,4% w/w | Leki działające na krew i układ krwiotwórczy
Lisinoratio 5 | Lisinoprilum dihydricum 5 mg | ACEI
Lisinoratio 10 | Lisinoprilum dihydricum 10 mg | ACEI
Lisinoratio 20 | Lisinoprilum dihydricum 20 mg | ACEI
Simvacard 20 | Simvastatinum 20 mg | Statyny
Simvacard 40 | Simvastatinum 40 mg | Statyny
Anbinex | Antithrombinum humanum III 500 j.m. | Leki działające na krew i układ krwiotwórczy
Simvachol | Simvastatinum 10 mg | Statyny
Apo-Flutam | Flutamidum 250 mg | Leki przeciwnowotworowe i immunomodulujące
Tobradex | Tobramycinum 3 mg + Dexamethasonum 1 mg | Leki okulistyczne i otologiczne
Kaletra | Lopinavirum 80 mg + Ritonavirum 20 mg | Leki przeciwbakteryjne i przeciwzakaźne
Otrivin Allergy | Phenylephrinum 0.25 % + Dimetindeni maleas 25 % | Leki układu oddechowego
Travatan | Travoprostum 40 mcg/ml | Leki okulistyczne i otologiczne
Tlen medyczny Air Products | Oxygenium nie mniej niż 99,5% v/v | Pozostałe produkty lecznicze
FluControl Symptom | Acidum acetylsalicylicum 300 mg + Ethoxybenzamidum 100 mg + Coffeinum 50 mg | Leki działające na układ nerwowy
Kabiven Peripheral | Histidinum 3.4 g + Soiae oleum raffinatum 85 g + Glucosum monohydricum 178 g + Alaninum 8 g + Arginina 5.6 g + Acidum asparaginicum 1.7 g + Glutamic acid 2.8 g + Glicyna 4 g + izoleucyna 2.8 g + Leucine 4 g + Lizyny chlorowodorek 5.6 g + Methioninum 2.8 g + Phenylalaninum 4 g + prolina 3.4 g + Serine 2.2 g + Treoninum 2.8 g + Tryptophanum 0.95 g + Tyrosine 0.12 g + Valinum 3.6 g + Calcii chloridum dihydricum 0.49 g + Magnezu siarczan siedmiowodny 1.6 g + Kalii chloridum 3 g + Sodu octan trójwodny 4.1 g | Leki działające na krew i układ krwiotwórczy
Voluven | Hydroxyethylamylum (poli (O-hydroksyetylo)skrobia (średnia masa cząsteczkowa: 130 000, stopień podstawienia 0,38-0,45) 60 g + Natrii chloridum 9 g | Leki działające na krew i układ krwiotwórczy
Fasturtec | Rasburicasum 1.5 mg/ml | Pozostałe produkty lecznicze
Tran Hasco | Iecoris aselli oleum 500 mg | Farmakologiczna grupa nieokreślona
Pangrol 10 000 | Pancreatinum 153,5 mg/kaps.; (Lipazy 10 000 j. Ph.Eur.; Amylaza 9 000 j. Ph.Eur.; Proteazy 500 j. Ph.Eur.) | Leki przewodu pokarmowego i metaboliczne
Rostil | Calcii dobesilas 250 mg | Leki układu sercowo‑naczyniowego
Xylometazolin Vibrocil | Xylometazolini hydrochloridum 0,1% m/V | Leki układu oddechowego
Otrivin dla dzieci | Xylometazolini hydrochloridum 0,5% m/V | Leki układu oddechowego
Otrivin | Xylometazolini hydrochloridum 0,1% m/V | Leki układu oddechowego
Hydroxyurea medac | Hydroxycarbamidum 500 mg | Leki przeciwnowotworowe i immunomodulujące
Lactulosum Aflofarm | Lactulosum 7.5 g/15 ml | Leki przewodu pokarmowego i metaboliczne
Decapeptyl 0,1 mg | Triptorelinum 0.1 mg | Leki przeciwnowotworowe i immunomodulujące
NovoRapid FlexPen | Insulinum aspartum 100 j./1 ml | Leki przewodu pokarmowego i metaboliczne
NovoMix 30 FlexPen | Insulinum aspartum 100 j./1 ml | Leki przewodu pokarmowego i metaboliczne
Voltaren Acti | Diclofenacum kalicum 12.5 mg | Leki układu mięśniowo‑szkieletowego
Equoral | Ciclosporinum 25 mg | Leki przeciwnowotworowe i immunomodulujące
Tramundin | Tramadoli hydrochloridum 100 mg | Leki działające na układ nerwowy
PiniHelix | Hedera helix extractum 1.7 g | Leki układu oddechowego
Elosone | Mometasoni furoas 0.1 g | Leki dermatologiczne
Relpax | Eletriptanum 40 mg | Leki działające na układ nerwowy
Miconal | Miconazolum 20 mg | Leki dermatologiczne
Hydrocortisonum Aflofarm | Hydrocortisonum 0,075 g/15 g | Leki dermatologiczne
Sodu Chlorek 0,9% WET Baxter | Natrii chloridum 9 g/1000 ml | Farmakologiczna grupa nieokreślona
Ibum Sprint | Ibuprofenum 200 mg | NLPZ
Ibum | Ibuprofenum 100 mg | NLPZ
Luteina | Progesteronum 50 mg | Leki układu moczowo‑płciowego i hormony płciowe
Moklar | Moclobemidum 150 mg | Leki działające na układ nerwowy
Migea | Acidum tolfenamicum 200 mg | Leki układu mięśniowo‑szkieletowego
Rectanal Enema | Natrii dihydrophosphas 14,00 g/100 ml + Dinatrii phosphas dodecahydricus 5,00 g/100 ml | Farmakologiczna grupa nieokreślona
Tussidex | Dextromethorphani hydrobromidum 30 mg | Leki układu oddechowego
Clemastinum Aflofarm | Clemastini fumaras 0,5 mg/5 ml | Leki układu oddechowego
Klindacin T | Clindamycini phosphas 11.89 mg | Leki dermatologiczne
Pevazol | Econazoli nitras 10 mg | Leki dermatologiczne
Naproxen Aflofarm | Naproxenum natricum 200 mg | NLPZ
Coldrex MaxGrip | Paracetamolum 1000 mg + Phenylephrini hydrochloridum 10 mg + Acidum ascorbicum 40 mg | Leki działające na układ nerwowy
Supremin | Butamirati citras 4 mg | Leki układu oddechowego
Diclac 75 Duo | Diclofenacum natricum 75 mg | Leki układu mięśniowo‑szkieletowego
Diclac 150 Duo | Diclofenacum natricum 150 mg | Leki układu mięśniowo‑szkieletowego
Biosteron | Dehydroepiandrosteronum do 1 ml | Leki przewodu pokarmowego i metaboliczne
Celipres 100 | Celiprololi hydrochloridum 100 mg | β-blokery selektywne
Celipres 200 | Celiprololi hydrochloridum 200 mg | β-blokery selektywne
Niquitin | Nicotini resinas 20 mg | Leki działające na układ nerwowy
Otrex 600 | Diosminum | Leki układu sercowo‑naczyniowego
ClinOleic 20% | Mieszanina oczyszczonego oleju sojowego (ok. 20%) i oczyszczonego oleju z oliwek (ok. 80%) 20 g/100 ml | Leki działające na krew i układ krwiotwórczy
Tolperis VP | Tolperisoni hydrochloridum 50 mg | Leki układu mięśniowo‑szkieletowego
Apap Noc | Paracetamolum 500 mg + Diphenhydramini hydrochloridum 25 mg | Leki działające na układ nerwowy
Gripex Noc | Paracetamolum 500 mg + Pseudoephedrini hydrochloridum 30 mg + Dextromethorphani hydrobromidum 15 mg + Chlorphenamini maleas 2 mg | Leki działające na układ nerwowy
Modafen Extra Grip | Ibuprofenum ad 1 ml + Pseudoephedrini hydrochloridum 30 mg | NLPZ
Ambrosan | Ambroxoli hydrochloridum 30 mg | Leki układu oddechowego
Estreva | Estradiolum 0.1 g | Leki układu moczowo‑płciowego i hormony płciowe
Folacid | Acidum folicum hydricum 5 mg | Leki działające na krew i układ krwiotwórczy
HBVaxPRO | Vaccinum hepatitidis B (ADNr) 40 mcg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Encepur K | wirus kleszczowego zapalenia mózgu, szczep K23, inaktywowany 0.75 mcg | Leki przeciwbakteryjne i przeciwzakaźne
Aerrane | Isofluranum 100 % | Leki działające na układ nerwowy
Trizivir | Abacaviri sulfas 351 mg + Lamivudinum 150 mg + Zidovudinum 300 mg | Leki przeciwbakteryjne i przeciwzakaźne
Nabuton VP | Nabumetonum 500 mg | Leki układu mięśniowo‑szkieletowego
Metafen żel Forte | Ibuprofenum lysinum 5 g | Leki układu mięśniowo‑szkieletowego
Asentra | Sertralinum 50 mg | SSRI
Tenox | Amlodipini maleas 6.42 mg | Antagoniści kanału wapniowego
Elidel | Pimecrolimusum 10 mg | Leki dermatologiczne
Ibuprom RR MAX | Ibuprofenum 400 mg | NLPZ
Folacid 0,4 mg | Acidum folicum 0.4 mg | Leki działające na krew i układ krwiotwórczy
Troxerutin Synteza | o-beta-hydroxyethylrutosidae 200 mg | Leki układu sercowo‑naczyniowego
Lactulose-MIP | Lactulosum 65,000 g/100 ml | Leki przewodu pokarmowego i metaboliczne
Cinnarizinum Hasco | Cinnarizinum 25 mg | Leki działające na układ nerwowy
Poltram Retard 100 | Tramadoli hydrochloridum 100 mg | Leki działające na układ nerwowy
Poltram Retard 150 | Tramadoli hydrochloridum 150 mg | Leki działające na układ nerwowy
Transtec 35 mcg/h | Buprenorphinum 20 mg | Leki działające na układ nerwowy
Transtec 52,5 mcg/h | Buprenorphinum 30 mg | Leki działające na układ nerwowy
Transtec 70 µg/h | Buprenorphinum 40 mg | Leki działające na układ nerwowy
Ibuprom Max | Ibuprofenum 400 mg | NLPZ
Herpex | Aciclovirum 50 mg | Leki dermatologiczne
BisoHEXAL 10 | Bisoprololi fumaras 10 mg | β-blokery selektywne
BisoHEXAL 5 | Bisoprololi fumaras 5 mg | β-blokery selektywne
Poltram | Tramadoli hydrochloridum 1 g/10 ml | Leki działające na układ nerwowy
Poltram 100 | Tramadoli hydrochloridum 50 mg | Leki działające na układ nerwowy
Poltram 50 | Tramadoli hydrochloridum 50 mg | Leki działające na układ nerwowy
Poltram Retard 200 | Tramadoli hydrochloridum 200 mg | Leki działające na układ nerwowy
Apo-Doxan 1 | Doxazosini mesilas 1.22 mg | Leki układu sercowo‑naczyniowego
Apo-Doxan 2 | Doxazosini mesilas 2.44 mg | Leki układu sercowo‑naczyniowego
Apo-Doxan 4 | Doxazosini mesilas 4.87 mg | Leki układu sercowo‑naczyniowego
Salofalk | Mesalazinum 4 mg | Leki przewodu pokarmowego i metaboliczne
Haloperidol WZF 0,2% | Haloperidolum 2 mg | Leki działające na układ nerwowy
Renagel | Sevelamerum 400 mg | Pozostałe produkty lecznicze
Fabrazyme | Agalsidasum beta 35 mg | Leki przewodu pokarmowego i metaboliczne
Hyzaar Forte | Losartanum kalicum 100 mg + Hydrochlorothiazidum 25 mg | ARB + diuretyki
Delmuno 2,5 | Ramiprilum 2.5 mg + Felodipinum 2.5 mg | Leki układu sercowo‑naczyniowego
Delmuno 5 | Ramiprilum 5 mg + Felodipinum 5 mg | Leki układu sercowo‑naczyniowego
Symla | Lamotriginum 25 mg | Leki działające na układ nerwowy
Glycophos | Natrii glycerophosphas 216 mg (306,1 mg sodu glicerofosforanu uwodnionego) | Leki działające na krew i układ krwiotwórczy
Femoston conti | Estradiolum 1 mg + Dydrogesteronum 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Lysodren | Mitotanum 500 | Leki przeciwnowotworowe i immunomodulujące
Olfen 75 SR | Diclofenacum natricum 75 mg | Leki układu mięśniowo‑szkieletowego
Purethal | Pojedyncze alergoidy pyłków roślin 20000 AUM/ml | Pozostałe produkty lecznicze
Woda do wstrzykiwań Fresenius | Aqua pro injectione 100 g/100 g | Farmakologiczna grupa nieokreślona
Abelcet | Amphotericinum B 5 mg | Leki przeciwbakteryjne i przeciwzakaźne
Fervex ból i gorączka Forte | Paracetamolum 1000 mg | Leki działające na układ nerwowy
Tracleer | Bosentanum 62.5 mg | Leki układu sercowo‑naczyniowego
Diuresin SR | Indapamidum 1.5 mg | Leki układu sercowo‑naczyniowego
Arava | Leflunomidum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Ferrum Lek | Ferrum 1,00/100ml | Leki działające na krew i układ krwiotwórczy
Allergo-Comod | Natrii cromoglicas 20 mg | Leki okulistyczne i otologiczne
Stieprox | Ciclopirox olaminum 1.5 g | Leki dermatologiczne
Zafiron | Formoteroli fumaras 12 mcg | Leki układu oddechowego
Peroxygel 3,0 | Hydrogenii peroxidum 10 g | Leki dermatologiczne
Mycosyst | Fluconazolum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Oftagel | Carbomerum 0.025 g | Leki okulistyczne i otologiczne
Menopur | Menotropinum humanum 75 j.m. FSH + 75 j.m. LH | Leki układu moczowo‑płciowego i hormony płciowe
Coryol 6,25 mg | Carvedilolum 6.25 mg | β-blokery + alfa-blokery
Betaferon | Interferonum beta-1b 250 mcg/ml | Leki przeciwnowotworowe i immunomodulujące
Pegasys | Peginterferonum alfa-2a 180 mcg | Leki przeciwnowotworowe i immunomodulujące
Caelyx pegylated liposomal | Doxorubicini hydrochloridum 2 mg | Leki przeciwnowotworowe i immunomodulujące
Hydrocort CHEMA | Hydrocortisoni acetas 5 mg/g | Leki dermatologiczne
Niquitin przezroczysty | Nicotinum 114 mg | Leki działające na układ nerwowy
Furaginum Teva | Furaginum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Spiriva | Tiotropii bromidum monohydricum 22.5 mcg | Leki układu oddechowego
Jodi Gel 10% | Polyvidonum iodinatum 10 g | Leki dermatologiczne
Stresolek | Melissae intractum 25 g + Lupuli strobili extractum siccum 15 g + Lavandulae floris extractum (1:1-2) ekstrahent - etanol 40% [v/v] 15 g + Valerianae tinctura 25 g + Leonuri cardiacae herbae tinctura (1:4-5) ekstrahent - etanol 70% [v/v] 20 g | Farmakologiczna grupa nieokreślona
