# Medication database
# Format: Name | Active substances (comma-separated) | Type
Vaminolact | Glicyna 2.1 g + L-Alanine 6.3 g + L-Argininum 4.1 g + L-asparaginowy kwas 4.1 g + L-cysteina (+ L-cystyna) 1 g + L-Glutaminum 7.1 g + L-Histydyna 2.1 g + L-izoleucyna 3.1 g + L-Leucinum 7 g + L-Lizyna 5.6 g + L-metionina 3.1 g + L-fenyloalanina 2.7 g + L-Prolinum 5.6 g + L-Serinum 3.8 g + Tauryna 300 mg + L-treonina 3.6 g + L-Tryptophanum 1.4 g + L-tyrozyna 500 mg + L-walina 3.6 g | Leki działające na krew i układ krwiotwórczy
Erdomed | Erdosteinum 35 mg/ml | Leki układu oddechowego
Actilyse 50 | Alteplasum 50 mg | Leki działające na krew i układ krwiotwórczy
Addamel N | Chromium trichloridum hexahydricum 5.33 mcg + Cuprii chloridum dihydricum 0.34 mg + Ferri chloridum hexaahydricum 0.54 mg + Manganii chloridum tetrahydricum 99 mcg + Kalii iodidum 16.6 mcg + Sodu fluorek 0.21 mg + Natrii molybdas 4.85 mcg + Natrii selenis 6.9 mcg + Zinci chloridum (II) 1.36 mg | Leki działające na krew i układ krwiotwórczy
Addiphos | Kalii dihydrogenophosphas 170.1 mg/ml + Dinatrii phosphas dihydricus 133.5 mg/ml + Kalii hydroxidum 14 mg/ml | Leki działające na krew i układ krwiotwórczy
Ascorvita | Acidum ascorbicum 1000 mg | Leki przewodu pokarmowego i metaboliczne
Adenocor | Adenosinum 6 mg | Leki układu sercowo‑naczyniowego
Afronis | Acidum boricum 3 g + Resorcinolum 2 g + Levomentholum 0.2 g + Thymolum 0.05 g | Farmakologiczna grupa nieokreślona
Aescin | Escinum 20 mg | Leki układu sercowo‑naczyniowego
Aesculan | Aesculus hippocastanum 62,5 mg/g + Lidocaini hydrochloridum 5 mg/g | Farmakologiczna grupa nieokreślona
Aethylum chloratum Filofarm | Ethylis chloridum 70 g | Leki działające na układ nerwowy
Aflegan | Ambroxoli hydrochloridum 7.5 mg | Leki układu oddechowego
Agapurin | Pentoxifyllinum 100 mg | Leki układu sercowo‑naczyniowego
Akineton | Biperideni lactas 5 mg | Leki działające na układ nerwowy
Aknemycin | Erythromycinum 20 mg/g | Leki dermatologiczne
Akneroxid 10 | Benzoylis peroxidum 10 g | Leki dermatologiczne
Akneroxid 5 | Benzoylis peroxidum 5 g | Leki dermatologiczne
Aksoderm | Retinoli palmitas 40000 j.m. | Farmakologiczna grupa nieokreślona
Alantan-Plus | Allantoinum 20 mg/g + Dexpanthenolum 50 mg/g | Leki dermatologiczne
Alantavit | Allantoinum 10 mg/g + Cholecalciferolum 500 j.m./g + Vitaminum A 1000 j.m/g | Leki dermatologiczne
Alcaine | Proxymetacaini hydrochloridum 5 mg | Leki okulistyczne i otologiczne
Syrop z cebuli Ziołowa Tradycja | Allii cepae extractum 15 g | Farmakologiczna grupa nieokreślona
Aldactone | Kalii canrenoas 200 mg | Leki układu sercowo‑naczyniowego
Alexan | Cytarabinum 20 mg/1 ml | Leki przeciwnowotworowe i immunomodulujące
Alka-Seltzer | Acidum acetylsalicylicum 324 mg | Leki działające na układ nerwowy
Alkeran | Melphalanum 2 mg | Leki przeciwnowotworowe i immunomodulujące
Tysabri | Natalizumabum 300 mg | Leki przeciwnowotworowe i immunomodulujące
Allergovit | Pojedyncze alergoidy pyłków roślin dawki do leczenia początkowego: stężenie A - 1000 TU/ml, stężenie B - 10 000 TU/ml; dawka do leczenia podtrzymującego: stężenie B - 10 000 TU/ml | Pozostałe produkty lecznicze
Roztwory do testów punktowych | Wyciągi alergenowe zgodnie z załącznikiem nr 1 + Wyciągi alergenowe zgodnie z załącznikiem nr 2 | Pozostałe produkty lecznicze
Alliofil | Allii sativi bulbus 200 mg + Urticae folium 53.5 mg | Leki przewodu pokarmowego i metaboliczne
Allupol | Allopurinolum 100 mg | Leki układu mięśniowo‑szkieletowego
Alfadiol | Alfacalcidolum 0.00025 mg | Leki przewodu pokarmowego i metaboliczne
Alpicort E | Prednisolonum 2 mg/ml + Estradioli benzoas 0,05 mg/ml + Acidum salicylicum 4 mg/ml | Leki dermatologiczne
Alpicort | Prednisolonum 2 mg/ml + Acidum salicylicum 4 mg/ml | Leki dermatologiczne
Aroma-Activ | Camphorum 1 g + Mentholum 1 g + Juniperi aetheroleum 0.5 g + Pini sylvestris aetheroleum 0.5 g + Terebinthini aetheroleum ab  pinum pinastrum 0.5 g | Farmakologiczna grupa nieokreślona
Altacet | Aluminii acetotartras 1000 mg + Aluminii acetotartras 100 mg | Farmakologiczna grupa nieokreślona
Alugastrin | Dihydroxyaluminii natrii carbonas 340 mg | Leki przewodu pokarmowego i metaboliczne
Androcur | Cyproteroni acetas 50 mg | Leki układu moczowo‑płciowego i hormony płciowe
Ambroksol Orifarm | Ambroxoli hydrochloridum (roztwór) 0,9 mg/15 ml | Leki układu oddechowego
Ambrosol Teva | Ambroxoli hydrochloridum 15,0 mg/ 5 ml | Leki układu oddechowego
Aminomel 10 E | L-izoleucyna 5.85 g/1000 ml + L-Leucinum 6.24 g/1000 ml + L-Lysini acetas 10.02 g/1000 ml + L-metionina 4.68 mg/1000 ml + L-Phenylalaninum 5.4 g/1000 ml + L-treonina 5 g/1000 ml + L-Tryptophanum 2 g/1000 ml + L-walina 5 g/1000 ml + L-Argininum 9.66 g/1000 ml + L-Histydyna 3.3 g/1000 ml + L-Alanine 15.5 g/1000 ml + Acidum glutamicum 5 g/1000 ml + Glicyna 7.55 g/1000 ml + L-Prolinum 7.5 g/1000 ml + L-Ornithini hydrochloridum 2.42 g/1000 ml + Acidum L-Asparticum 1.91 g/1000 ml + L-Serinum 4.3 g/1000 ml + Acetylcysteinum 0.673 g/1000 ml + N-acetylo-L-tyrozyna 2 g/1000 ml + Sodu octan trójwodny 3.456 g/1000 ml + Natrii hydroxidum 1.324 g/1000 ml + Sodu chlorek 0.625 g/1000 ml + potasu chlorek 3.355 g/1000 ml + Magnezu chlorek sześciowodny 1.017 g/1000 ml + wapnia chlorek dwuwodny 0.735 g/1000 ml | Leki działające na krew i układ krwiotwórczy
Aminomel 12,5 E | L-izoleucyna 7.31 g/1000 ml + L-Leucinum 6.24 g/1000 ml + L-Lysini acetas 12.53 g/1000 ml + L-metionina 5.85 g/1000 ml + L-fenyloalanina 6.75 g/1000 ml + L-treonina 6.25 g/1000 ml + L-Tryptophanum 2.5 g/1000 ml + L-walina 6.25 g/1000 ml + L-Argininum 12.08 g/1000 ml + L-Histydyna 4.13 g/1000 ml + L-Alanine 19.38 g/1000 ml + kwas L-glutaminowy 6.25 g/1000 ml + Glicyna 9.44 g/1000 ml + L-Prolinum 9.38 g/1000 ml + L-Ornithini hydrochloridum 3.02 g/1000 ml + Acidum L-Asparticum 2.39 g/1000 ml + L-Serinum 5.38 g/1000 ml + Acetylcysteinum 0.84 g/1000 ml + N-acetylo-L-tyrozyna 2.5 g/1000 ml + Sodu octan trójwodny 4.32 g/1000 ml + Sodu chlorek 0.78 g/1000 ml + potasu chlorek 4.194 g/1000 ml + Magnezu chlorek sześciowodny 1.27 g/1000 ml + wapnia chlorek dwuwodny 0.919 g/1000 ml | Leki działające na krew i układ krwiotwórczy
Aminomel Nephro | L-izoleucyna 6 g/1000 ml + L-Leucinum 6.4 g/1000 ml + L-Lysini acetas 10.27 g/1000 ml + L-metionina 4.59 g/1000 ml + L-fenyloalanina 5.53 g/1000 ml + L-treonina 5.13 g/1000 ml + L-Tryptophanum 2.05 g/1000 ml + L-walina 5.13 g/1000 ml + L-Argininum 30.2 g/1000 ml + L-Histydyna 3.88 g/1000 ml + L-Alanine 2.59 g/1000 ml + Acidum glutamicum 2.16 g/1000 ml + Glicyna 1.29 g/1000 ml + L-Prolinum 1.66 g/1000 ml + L-Serinum 2.59 g/1000 ml + Acetylcysteinum 0.54 g/1000 ml + N-acetylo-L-tyrozyna 0.37 g/1000 ml | Leki działające na krew i układ krwiotwórczy
Aminoplasmal Hepa 10% | Isoleucinum 8.8 g + Leucinum 13.6 g + Lysini acetas 10.6 g + Methioninum 1.2 g + Phenylalaninum 1.6 g + Threoninum 4.6 g + Tryptophanum 1.5 g + Valinum 10.6 g + Arginina 8.8 g + Histidinum 4.7 g + Glicyna 6.3 g + Alaninum 8.3 g + Acidum asparaginicum 2.5 g + asparagina jednowodna 0.55 g + Acetylcysteinum 0.8 g + Glutamic acid 5.7 g + Ornithini hydrochloridum 1.66 g + Serinum 3.7 g + Acetyltyrosinum 0.86 g | Leki działające na krew i układ krwiotwórczy
Aminosteril N-Hepa 8% | L-izoleucyna 10.4 g/1000 ml + L-Leucinum 13.09 g + L-Lysini acetas 9.71 g + L-metionina 1.1 g + N-acetyl-L-cysteinum 0.7 g + L-fenyloalanina 0.88 g + L-treonina 4.4 g + L-Tryptophanum 0.7 g + L-walina 10.08 g + L-Argininum 10.72 g + L-Histydyna 2.8 g + Glicyna 5.82 g + L-Alanine 4.64 g + L-Prolinum 5.73 g + L-Serinum 2.24 g | Leki działające na krew i układ krwiotwórczy
Amizepin | Carbamazepinum 200 mg | Leki działające na układ nerwowy
Acatar Acti Form | Phenylephrini hydrochloridum 12.2 mg | Leki układu oddechowego
Amoksiklav | Amoxicillinum natricum 1000 mg + Acidum clavulanicum 200 mg | Penicyliny z inhibitorami beta-laktamaz
Amol | Mentholum 1.723 g + Caryophylli aetheroleum do 0,25 ml + Cinnamomi cortex 0.24 g + Limonis aetheroleum 0.57 g + Menthae piperitae aetheroleum 0.24 g + Lavandulae aetheroleum 0.24 g + Citronellae aetheroleum 0,15- 0,2 mg Al3+ | Leki przewodu pokarmowego i metaboliczne
Amotaks | Amoxicillinum 585 mg | Penicyliny
Ampicillin TZF | Ampicillinum trihydricum 500 mg | Penicyliny
Anafranil | Clomipramini hydrochloridum 10 mg | Leki działające na układ nerwowy
Anafranil SR 75 | Clomipramini hydrochloridum 75 mg | Leki działające na układ nerwowy
Parvoerysin | Inaktywowany szczep 1-203 Erysipelothrix rhusiopathiae, serotyp 1a nie mniej niż 1 RP** **) RP miano względem standardu stosowanego w badaniach skuteczności szczepionki na docelowych gatunkach zwierząt zgodnie z wymaganiami określonymi w monografii Farmakopei Europejskiej + Inaktywowany szczep 2-II Erysipelothrix rhusiopathiae, serotyp 2a Każda dawka szczepionki (2 ml) zawiera: nie mniej niż 1 RP**) **) RP miano względem standardu stosowanego w badaniach skuteczności szczepionki na docelowych gatunkach zwierząt zgodnie z wymaganiami określonymi w monografii Farmakopei Europejskiej + Inaktywowany szczep 2-64 Erysipelothrix rhusiopathiae, serotyp 2a Każda dawka szczepionki (2 ml) zawiera: nie mniej niż 1 RP**) **) RP miano względem standardu stosowanego w badaniach skuteczności szczepionki na docelowych gatunkach zwierząt zgodnie z wymaganiami określonymi w monografii Farmakopei Europejskiej + Inaktywowany parwowirus świński CAPM V198, szczep S-27 Każda dawka szczepionki (2 ml) zawiera: nie mniej niż 4 log2 HI *) *) Miano przeciwciał HI w surowicy krwi kawii domowej po zastosowaniu 1/4 dawki szczepionki + Inaktywowany szczep 2-5 Erysipelothrix rhusiopathiae, serotyp 2a Każda dawka szczepionki (2 ml) zawiera: nie mniej niż 1 RP**) **) RP miano względem standardu stosowanego w badaniach skuteczności szczepionki na docelowych gatunkach zwierząt zgodnie z wymaganiami określonymi w monografii Farmakopei Europejskiej | Farmakologiczna grupa nieokreślona
Anapran | Naproxenum natricum 275 mg | NLPZ
Szczepionka tężcowa adsorbowana (T) | Toksoid tężcowy nie mniej niż 40 j.m. | Leki przeciwbakteryjne i przeciwzakaźne
Rennie Antacidum | Magnesii subcarbonas 80 mg + Calcii carbonas 680 mg | Leki przewodu pokarmowego i metaboliczne
Anticol | Disulfiramum 500 mg | Leki działające na układ nerwowy
Antidral | Aluminii chloridum 100 mg/1 g | Leki dermatologiczne
Antithrombin III NF Takeda | Antithrombinum humanum III 50 j.m./ml; 500 j.m. | Leki działające na krew i układ krwiotwórczy
Zibor | Bemiparinum natricum 25000 j.m. anty Xa/ml | Leki działające na krew i układ krwiotwórczy
AviPro Salmonella Duo | Salmonella enterica, serotyp Typhimurium, szczep Nal2/Rif9/Rtt, Żywe atenuowane 20 ml + Salmonella enterica, serotyp Enteritidis, szczep Sm24/Rif12/Ssq, żywe atenuowane 20 ml | Farmakologiczna grupa nieokreślona
Antypot | Acidum boricum 100 mg/g + Acidum salicylicum 10 mg/g | Farmakologiczna grupa nieokreślona
Carboplatin Pfizer | Carboplatinum 10 mg | Leki przeciwnowotworowe i immunomodulujące
Sulpiryd Teva | Sulpiridum 50 mg | Leki działające na układ nerwowy
Apap | Paracetamolum 500 mg | Leki działające na układ nerwowy
Aphtin Aflofarm | Borax 2 g (w 10 g) | Farmakologiczna grupa nieokreślona
Aphtin | Borax 200 mg/g | Farmakologiczna grupa nieokreślona
Apitussic | Sulfogaiacolum 0.8 g | Leki układu oddechowego
Aqua pro injectione Polpharma | Aqua ad iniectabile - | Pozostałe produkty lecznicze
Arduan | Pipecuronii bromidum 4 mg | Leki układu mięśniowo‑szkieletowego
Arechin | Chloroquini phosphas 250 mg | Leki przeciwpasożytnicze
Argol Essenza Balsamica | Thymi aetheroleum 0.24 g + Cinnamoni zeylanici corticis aetheroleum 0.465 g + Menthae piperitae aetheroleum 0.375 g + Limonis aetheroleum 0.29 g + Mentholum 1.5 g + Myristicae aetheroleum 0.26 g + Melissae aetheroleum 0.34 g + Coriandri aetheroleum 0.24 g + Caryophylli aetheroleum 0.29 g | Farmakologiczna grupa nieokreślona
Argosulfan | Sulfathiazolum argentum 20 mg | Leki dermatologiczne
Aromatol | Levomentholum 1.72 g + Limonis aetheroleum 0.57 g + Cinnamoni zeylanici corticis aetheroleum 0.24 g + Menthae arvensis aetheroleum 0.24 g + Lavandulae aetheroleum 0.24 g + Citronellae aetheroleum 0.1 g + Caryophylli floris aetheroleum 0.1 g | Leki przewodu pokarmowego i metaboliczne
Artemisol | Absinthii herbae tinctura 96.8 g + Ethanolum zawartość etanolu: 60-65% + Acidum aceticum 3.2 g | Farmakologiczna grupa nieokreślona
Ascofer | Ferrosi gluconas hydricus (co odpowiada 23,2 mg jonów żelaza (II)) 200 mg | Leki działające na krew i układ krwiotwórczy
Asmag | Magnesii hydrogenophosphas 300 mg | Leki przewodu pokarmowego i metaboliczne
Asmag forte | Magnesii hydrogenophosphas 500 mg | Leki przewodu pokarmowego i metaboliczne
Aspargin | Magnesii hydrogenoaspartas 250 mg + Kalii hydrogenoaspartas 250 mg | Leki przewodu pokarmowego i metaboliczne
